Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,17.500000,17.950001,16.000000,16.290001,16.290001,3092900
2021-07-19,16.000000,16.330000,16.000000,16.110001,16.110001,208300
2021-07-20,16.100000,16.280001,16.000000,16.090000,16.090000,161200
2021-07-21,16.150000,16.490000,16.049999,16.290001,16.290001,59000
2021-07-22,16.170000,16.920000,16.049999,16.490000,16.490000,83400
2021-07-23,16.500000,16.889999,16.120001,16.580000,16.580000,67800
2021-07-26,16.440001,16.780001,14.990000,16.000000,16.000000,51200
2021-07-27,15.750000,16.570000,15.250000,16.000000,16.000000,41900
2021-07-28,16.510000,16.840000,15.870000,16.200001,16.200001,23200
2021-07-29,16.170000,17.000000,16.010000,16.900000,16.900000,77400
2021-07-30,16.980000,19.945000,16.330000,18.320000,18.320000,78100
2021-08-02,18.600000,22.240000,17.990000,21.260000,21.260000,167700
2021-08-03,21.580000,26.670000,21.580000,22.420000,22.420000,116100
2021-08-04,22.420000,24.420000,21.733999,23.980000,23.980000,82400
2021-08-05,24.000000,25.639999,23.330000,24.590000,24.590000,94400
2021-08-06,24.299999,24.780001,20.045000,24.490000,24.490000,200600
2021-08-09,23.959999,23.959999,21.844999,22.990000,22.990000,114000
2021-08-10,23.440001,23.440001,22.620001,23.000000,23.000000,105600
2021-08-11,22.850000,23.000000,21.920000,22.709999,22.709999,48000
2021-08-12,22.379999,22.700001,20.170000,20.799999,20.799999,82400
2021-08-13,20.410000,22.059999,20.209999,20.700001,20.700001,98500
2021-08-16,20.340000,20.750000,18.870001,19.650000,19.650000,49600
2021-08-17,19.797001,20.490000,18.690001,19.700001,19.700001,63900
2021-08-18,19.500000,20.500000,19.004999,19.889999,19.889999,79700
2021-08-19,19.600000,20.000000,19.580000,19.930000,19.930000,60700
2021-08-20,19.780001,21.770000,19.780001,20.379999,20.379999,88700
2021-08-23,20.469999,23.604000,19.650000,21.530001,21.530001,310700
2021-08-24,21.360001,22.184999,20.200001,21.430000,21.430000,98500
2021-08-25,21.690001,22.570000,20.332001,22.500000,22.500000,86400
2021-08-26,21.929001,27.740000,21.895000,24.570000,24.570000,155200
2021-08-27,24.440001,26.950001,23.340000,25.450001,25.450001,75400
2021-08-30,25.400000,26.860001,23.959999,25.180000,25.180000,70600
2021-08-31,25.490000,27.209999,25.250000,26.270000,26.270000,66300
2021-09-01,25.250000,26.080000,23.860001,24.750000,24.750000,111400
2021-09-02,24.330000,27.200001,24.330000,26.090000,26.090000,84600
2021-09-03,26.250000,28.040001,25.440001,26.980000,26.980000,73200
2021-09-07,27.430000,35.680000,26.812000,28.840000,28.840000,358400
2021-09-08,28.500000,31.480000,24.980000,24.980000,24.980000,154900
2021-09-09,24.980000,28.590000,22.480000,25.200001,25.200001,164900
2021-09-10,24.910000,26.440001,24.771999,25.459999,25.459999,178200
2021-09-13,25.629999,26.990000,23.584999,25.260000,25.260000,164900
2021-09-14,25.690001,29.385000,24.650000,28.010000,28.010000,230300
2021-09-15,28.129999,28.790001,26.070000,27.350000,27.350000,358200
2021-09-16,27.350000,27.350000,23.559999,23.940001,23.940001,217000
2021-09-17,23.370001,24.490000,20.549999,21.969999,21.969999,1524600
2021-09-20,21.459999,21.459999,18.219999,18.639999,18.639999,321400
2021-09-21,18.639999,20.129999,17.795000,18.730000,18.730000,286500
2021-09-22,18.709999,19.690001,18.315001,19.100000,19.100000,73500
2021-09-23,19.100000,19.599001,17.790001,18.910000,18.910000,84600
2021-09-24,18.799999,19.885000,17.900000,19.559999,19.559999,216000
2021-09-27,19.490000,21.120001,18.670000,20.680000,20.680000,247800
2021-09-28,20.230000,21.045000,19.190001,20.590000,20.590000,220100
2021-09-29,20.540001,21.020000,19.100000,19.110001,19.110001,148400
2021-09-30,19.459999,20.170000,18.500000,20.030001,20.030001,99500
2021-10-01,19.809999,21.580000,19.549999,21.459999,21.459999,79300
2021-10-04,21.530001,22.955000,20.915001,22.480000,22.480000,55500
2021-10-05,22.500000,23.450001,21.559999,22.639999,22.639999,62300
